Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 0.3429793658782084; Second score: 2.883751542859308; Combined: 0.6130460230457648; Selected
		 Property: description; First score: 0.3140412682435833; Second score: 2.8801571204354843; Combined: 0.5663318834847885; Selected
		 Property: manufacturer; First score: 0.3429793658782084; Second score: 0.5830600500124459; Combined: 0.4318986055898042
Tgt (score): 
		 Property: name; First score: 0.4968427537347913; Second score: 2.567847028581381; Combined: 0.8325907543476474; Selected
		 Property: description; First score: 0.4674264592638226; Second score: 2.3994770983154323; Combined: 0.7824323780861664; Selected
		 Property: manufacturer; First score: 0.035730787001386106; Second score: 0.7191463173469989; Combined: 0.06807906542651736
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.2; Sing.: 0.9623; P: 0.7980456026058632; R: 0.18846153846153846; F1: 0.30491599253266954; Conf.: 0.7136522753792298; Links: 307
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.21; Sing.: 0.9612; P: 0.7835365853658537; R: 0.1976923076923077; F1: 0.3157248157248157; Conf.: 0.7136522753792298; Links: 328
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.22; Sing.: 0.9614; P: 0.7893258426966292; R: 0.21615384615384614; F1: 0.3393719806763285; Conf.: 0.7136522753792298; Links: 356
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.23; Sing.: 0.9607; P: 0.7893333333333333; R: 0.2276923076923077; F1: 0.3534328358208955; Conf.: 0.7136522753792298; Links: 375
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.24; Sing.: 0.9546; P: 0.7679425837320574; R: 0.2469230769230769; F1: 0.37369033760186265; Conf.: 0.7136522753792298; Links: 418
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.25; Sing.: 0.9509; P: 0.7472766884531591; R: 0.26384615384615384; F1: 0.3899943149516771; Conf.: 0.7136522753792298; Links: 459
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.26; Sing.: 0.951; P: 0.7454545454545455; R: 0.28384615384615386; F1: 0.41114206128133707; Conf.: 0.7136522753792298; Links: 495
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.27; Sing.: 0.9479; P: 0.7476459510357816; R: 0.30538461538461537; F1: 0.4336428181321682; Conf.: 0.7136522753792298; Links: 531
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.28; Sing.: 0.9445; P: 0.7272727272727273; R: 0.32; F1: 0.4444444444444444; Conf.: 0.7136522753792298; Links: 572
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.29; Sing.: 0.9423; P: 0.7193548387096774; R: 0.34307692307692306; F1: 0.46458333333333335; Conf.: 0.7136522753792298; Links: 620
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.3; Sing.: 0.9367; P: 0.6989409984871406; R: 0.3553846153846154; F1: 0.47118816930137686; Conf.: 0.7136522753792298; Links: 661
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.31; Sing.: 0.9304; P: 0.6804979253112033; R: 0.37846153846153846; F1: 0.48640632723677707; Conf.: 0.7136522753792298; Links: 723
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.32; Sing.: 0.9247; P: 0.6592689295039165; R: 0.38846153846153847; F1: 0.4888673765730881; Conf.: 0.7136522753792298; Links: 766
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.33; Sing.: 0.9195; P: 0.6394640682095006; R: 0.40384615384615385; F1: 0.49504950495049505; Conf.: 0.7136522753792298; Links: 821
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.34; Sing.: 0.9175; P: 0.6367869615832363; R: 0.4207692307692308; F1: 0.5067160722556739; Conf.: 0.7136522753792298; Links: 859
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.35; Sing.: 0.9134; P: 0.6252771618625277; R: 0.4338461538461538; F1: 0.5122615803814714; Conf.: 0.7136522753792298; Links: 902
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.36; Sing.: 0.9097; P: 0.6146596858638743; R: 0.45153846153846156; F1: 0.5206208425720621; Conf.: 0.7136522753792298; Links: 955
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.37; Sing.: 0.9038; P: 0.594488188976378; R: 0.4646153846153846; F1: 0.5215889464594128; Conf.: 0.7136522753792298; Links: 1016
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.38; Sing.: 0.8987; P: 0.5846994535519126; R: 0.4938461538461538; F1: 0.5354462051709759; Conf.: 0.7136522753792298; Links: 1098
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.39; Sing.: 0.8949; P: 0.5692041522491349; R: 0.5061538461538462; F1: 0.5358306188925082; Conf.: 0.7136522753792298; Links: 1156
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.4; Sing.: 0.8899; P: 0.5554642563681184; R: 0.52; F1: 0.5371473976956694; Conf.: 0.7136522753792298; Links: 1217
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.41; Sing.: 0.885; P: 0.5382830626450116; R: 0.5353846153846153; F1: 0.5368299267258002; Conf.: 0.7136522753792298; Links: 1293
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.42; Sing.: 0.8796; P: 0.5240174672489083; R: 0.5538461538461539; F1: 0.5385190725504861; Conf.: 0.7136522753792298; Links: 1374
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.43; Sing.: 0.8754; P: 0.5124137931034483; R: 0.5715384615384616; F1: 0.5403636363636364; Conf.: 0.7136522753792298; Links: 1450
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.44; Sing.: 0.8714; P: 0.5055737704918033; R: 0.5930769230769231; F1: 0.5458407079646018; Conf.: 0.7136522753792298; Links: 1525
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.45; Sing.: 0.8676; P: 0.4937578027465668; R: 0.6084615384615385; F1: 0.5451412818745692; Conf.: 0.7136522753792298; Links: 1602
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.46; Sing.: 0.8642; P: 0.4817910447761194; R: 0.6207692307692307; F1: 0.5425210084033614; Conf.: 0.7136522753792298; Links: 1675
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.47; Sing.: 0.8607; P: 0.4696195343554798; R: 0.6361538461538462; F1: 0.5403462920614178; Conf.: 0.7136522753792298; Links: 1761
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.48; Sing.: 0.8557; P: 0.4581779435269046; R: 0.6615384615384615; F1: 0.541391249606547; Conf.: 0.7136522753792298; Links: 1877
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.49; Sing.: 0.85; P: 0.4420579420579421; R: 0.6807692307692308; F1: 0.536038764385221; Conf.: 0.7136522753792298; Links: 2002
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.5; Sing.: 0.8453; P: 0.42985781990521327; R: 0.6976923076923077; F1: 0.5319648093841642; Conf.: 0.7136522753792298; Links: 2110
