Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 0.3333333333333333; Second score: 2.6978505187429582; Combined: 0.5933546430261326; Selected
		 Property: authors; First score: 0.3333333333333333; Second score: 2.1372537270420935; Combined: 0.5767195339441089; Selected
		 Property: venue; First score: 0.3333333333333333; Second score: 0.005372684142708243; Combined: 0.010574921151867402
Tgt (score): 
		 Property: title; First score: 0.3650190114068441; Second score: 3.136090920692447; Combined: 0.6539256577223478; Selected
		 Property: authors; First score: 0.3643852978453739; Second score: 3.128704715608163; Combined: 0.6527481371944157; Selected
		 Property: venue; First score: 0.270595690747782; Second score: 1.7685170576338705; Combined: 0.46937384427563134
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.4; Sing.: 0.9497; P: 0.7647058823529411; R: 0.007293809612867028; F1: 0.014449796220822526; Conf.: 0.08518673940411246; Links: 51
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.41; Sing.: 0.9509; P: 0.7692307692307693; R: 0.007480830372171311; F1: 0.014817558807186515; Conf.: 0.08518673940411246; Links: 52
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.42; Sing.: 0.9475; P: 0.7547169811320755; R: 0.007480830372171311; F1: 0.014814814814814815; Conf.: 0.08518673940411246; Links: 53
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.43; Sing.: 0.9406; P: 0.7454545454545455; R: 0.007667851131475594; F1: 0.015179563124768604; Conf.: 0.08518673940411246; Links: 55
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.44; Sing.: 0.9309; P: 0.7192982456140351; R: 0.007667851131475594; F1: 0.015173945225758698; Conf.: 0.08518673940411246; Links: 57
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.45; Sing.: 0.9272; P: 0.6885245901639344; R: 0.007854871890779876; F1: 0.015532544378698224; Conf.: 0.08518673940411246; Links: 61
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.46; Sing.: 0.9249; P: 0.6774193548387096; R: 0.007854871890779876; F1: 0.01552967276760954; Conf.: 0.08518673940411246; Links: 62
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.47; Sing.: 0.9206; P: 0.6666666666666666; R: 0.007854871890779876; F1: 0.015526802218114602; Conf.: 0.08518673940411246; Links: 63
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.48; Sing.: 0.894; P: 0.589041095890411; R: 0.008041892650084159; F1: 0.015867158671586716; Conf.: 0.08518673940411246; Links: 73
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.49; Sing.: 0.8935; P: 0.581081081081081; R: 0.008041892650084159; F1: 0.01586423169156982; Conf.: 0.08518673940411246; Links: 74
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.5; Sing.: 0.889; P: 0.5657894736842105; R: 0.008041892650084159; F1: 0.015858380969942836; Conf.: 0.08518673940411246; Links: 76
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.51; Sing.: 0.8794; P: 0.5375; R: 0.008041892650084159; F1: 0.015846692463607887; Conf.: 0.08518673940411246; Links: 80
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.52; Sing.: 0.8747; P: 0.5180722891566265; R: 0.008041892650084159; F1: 0.01583793738489871; Conf.: 0.08518673940411246; Links: 83
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.53; Sing.: 0.8606; P: 0.46236559139784944; R: 0.008041892650084159; F1: 0.015808823529411764; Conf.: 0.08518673940411246; Links: 93
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.54; Sing.: 0.8544; P: 0.4479166666666667; R: 0.008041892650084159; F1: 0.01580011023332721; Conf.: 0.08518673940411246; Links: 96
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.55; Sing.: 0.8439; P: 0.40186915887850466; R: 0.008041892650084159; F1: 0.015768243491015767; Conf.: 0.08518673940411246; Links: 107
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.56; Sing.: 0.8274; P: 0.35833333333333334; R: 0.008041892650084159; F1: 0.01573074812511432; Conf.: 0.08518673940411246; Links: 120
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.57; Sing.: 0.8188; P: 0.3308270676691729; R: 0.008228913409388442; F1: 0.016058394160583942; Conf.: 0.08518673940411246; Links: 133
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.58; Sing.: 0.7986; P: 0.26506024096385544; R: 0.008228913409388442; F1: 0.015962270995828042; Conf.: 0.08518673940411246; Links: 166
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.59; Sing.: 0.7884; P: 0.23783783783783785; R: 0.008228913409388442; F1: 0.015907447577729574; Conf.: 0.08518673940411246; Links: 185
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.6; Sing.: 0.7801; P: 0.1981981981981982; R: 0.008228913409388442; F1: 0.01580175974142575; Conf.: 0.08518673940411246; Links: 222
