Source types: {}
Target types: {}
Src (score): 
		 Property: description; First score: 1.0; Second score: 1.0; Combined: 1.0; Selected
		 Property: name; First score: 1.0; Second score: 1.0; Combined: 1.0; Selected
Tgt (score): 
		 Property: name; First score: 1.0; Second score: 0.9880952380952381; Combined: 0.9904534606205251; Selected
		 Property: description; First score: 0.5961538461538461; Second score: 0.858678955453149; Combined: 0.7891740746138152; Selected
		 Property: manufacturer; First score: 0.9945054945054945; Second score: 0.10681399631675875; Combined: 0.13002615881571908
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.41; Sing.: 1.0; P: 0.9; R: 0.008204193254329991; F1: 0.016260162601626018; Conf.: 0.4920863309352518; Links: 10
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.02; Sing.: 1.0; P: 1.0; R: 0.0036463081130355514; F1: 0.007266121707538601; Conf.: 0.4920863309352518; Links: 4
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.03; Sing.: 1.0; P: 1.0; R: 0.0054694621695533276; F1: 0.010879419764279238; Conf.: 0.4920863309352518; Links: 6
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.04; Sing.: 1.0; P: 1.0; R: 0.007292616226071103; F1: 0.014479638009049774; Conf.: 0.4920863309352518; Links: 8
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.05; Sing.: 1.0; P: 1.0; R: 0.009115770282588878; F1: 0.018066847335140017; Conf.: 0.4920863309352518; Links: 10
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.06; Sing.: 1.0; P: 1.0; R: 0.01276207839562443; F1: 0.025202520252025202; Conf.: 0.4920863309352518; Links: 14
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.07; Sing.: 1.0; P: 1.0; R: 0.013673655423883319; F1: 0.02697841726618705; Conf.: 0.4920863309352518; Links: 15
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.0; Sing.: 1.0; P: 1.0; R: 0.006381039197812215; F1: 0.012681159420289856; Conf.: 0.4920863309352518; Links: 7
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.02; Sing.: 1.0; P: 1.0; R: 0.009115770282588878; F1: 0.018066847335140017; Conf.: 0.4920863309352518; Links: 10
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.03; Sing.: 1.0; P: 1.0; R: 0.011850501367365542; F1: 0.023423423423423424; Conf.: 0.4920863309352518; Links: 13
