0.6	0.92
0.06	0.03
0.45	0.04
0.6	0.67
0.24	0.83
0.54	0.59
0.66	0.62
0.12	0.99
0.13	0.95
0.54	0.21
0.45	0.08
0.42	0.04
0.37	0.94
0.26	0.74
0.65	0.8
0.04	0.53
0.57	0.0
0.41	0.57
0.46	0.13
0.65	0.07
0.7	0.09
0.6	0.46
0.23	0.41
0.67	0.75
0.4	0.56
0.1	0.23
0.49	0.35
0.49	0.08
0.13	0.08
0.31	0.71
0.66	0.71
0.65	0.2
0.0	0.88
0.31	0.96
0.0	0.63
0.49	0.04
0.59	0.69
0.0	0.44
0.49	0.95
0.36	0.26
0.5	0.93
0.24	0.02
0.45	0.83
0.42	0.89
0.65	0.05
0.29	0.56
0.54	0.42
0.74	0.01
0.45	0.16
0.02	0.71
0.54	0.8
0.23	0.79
0.46	0.36
0.42	0.16
0.56	0.38
0.6	0.37
0.66	0.12
0.32	0.59
0.58	0.7
0.05	0.29
0.3	0.02
0.45	0.43
0.66	0.06
0.5	0.34
0.07	0.99
0.59	0.82
0.35	0.37
0.59	0.57
0.65	0.56
0.36	0.36
0.36	0.65
0.29	0.73
0.39	0.97
0.14	0.3
0.36	0.9
0.29	0.98
0.3	0.63
0.54	0.73
0.03	0.25
0.58	0.83
0.3	0.01
0.36	0.97
0.47	0.07
0.58	0.29
0.65	0.59
0.31	0.68
0.14	0.93
0.42	0.86
0.01	0.0
0.46	0.52
0.67	0.0
0.32	0.2
0.11	0.84
0.26	0.67
0.03	0.75
0.11	0.59
0.65	0.49
0.65	0.81
0.24	0.43
0.01	0.5
0.65	0.73
0.24	0.44
0.13	0.16
0.05	0.7
0.38	0.44
0.47	0.81
0.07	0.67
0.01	0.25
0.04	0.39
0.07	0.92
0.4	0.21
0.43	0.94
0.65	0.84
0.0	0.58
0.55	0.19
0.0	0.83
0.04	0.54
0.0	0.29
0.56	0.18
0.11	0.98
0.64	0.23
0.66	0.17
0.04	0.41
0.21	0.44
0.04	0.27
0.17	0.5
0.56	0.36
0.64	0.46
0.45	0.88
0.21	0.88
0.8	0.0
0.22	0.82
0.73	0.01
0.55	0.38
0.47	0.42
0.57	0.19
0.52	0.93
0.43	0.52
0.21	0.05
0.2	0.47
0.41	0.94
0.1	0.37
0.29	0.59
0.46	0.39
0.1	0.01
0.52	0.17
0.34	0.96
0.6	0.32
0.09	0.03
0.43	0.13
0.08	0.26
0.17	0.09
0.59	0.9
0.44	0.52
0.03	0.31
0.52	0.34
0.34	0.48
0.25	0.03
0.53	0.29
0.38	0.49
0.03	0.87
0.33	0.88
0.6	0.89
0.2	0.94
0.66	0.68
0.35	0.6
0.45	0.11
0.32	0.98
0.29	0.63
0.04	0.65
0.34	0.12
0.17	0.51
0.16	0.01
0.64	0.48
0.48	0.81
0.43	0.54
0.52	0.31
0.11	0.94
0.03	0.62
0.1	0.99
0.39	0.45
0.43	0.79
0.04	0.45
0.61	0.85
0.6	0.34
0.03	0.96
0.33	0.95
0.06	0.6
0.34	0.03
0.64	0.12
0.4	0.44
0.44	0.36
0.38	0.58
0.22	0.45
0.56	0.25
0.29	0.11
0.03	0.71
0.4	0.88
0.03	0.24
0.59	0.27
0.33	0.49
0.48	0.07
0.21	0.73
0.64	0.03
0.64	0.67
0.21	0.98
0.33	0.98
0.59	0.54
0.55	0.25
0.65	0.54
0.45	0.35
0.64	0.06
0.17	0.19
0.71	0.05
0.03	0.06
0.29	0.05
0.56	0.0
0.39	0.9
0.09	0.96
0.02	0.15
0.09	0.87
0.32	0.69
0.1	0.61
0.03	0.03
0.09	0.62
0.4	0.55
0.45	0.95
0.29	0.4
0.57	0.25
0.3	0.7
0.58	0.28
0.18	0.98
0.43	0.51
0.38	0.01
0.62	0.03
0.21	0.04
0.53	0.34
0.63	0.3
0.1	0.6
0.63	0.85
0.18	0.49
0.37	0.97
0.6	0.86
0.21	0.08
0.26	0.7
0.65	0.63
0.46	0.41
0.13	0.99
0.36	0.57
0.26	0.95
0.59	0.07
0.53	0.63
0.38	0.64
0.62	0.12
0.18	0.07
0.57	0.36
0.3	0.56
0.38	0.02
0.53	0.17
0.57	0.18
0.37	0.36
0.38	0.89
0.34	0.38
0.27	0.97
0.35	0.64
0.1	0.93
0.47	0.41
0.51	0.33
0.35	0.89
0.55	0.52
0.34	0.68
0.33	0.1
0.63	0.19
0.23	0.84
0.25	0.25
0.53	0.11
0.53	0.93
0.41	0.9
0.23	0.8
0.33	0.2
0.35	0.01
0.65	0.69
0.23	0.42
0.23	0.98
0.25	0.0
0.03	0.38
0.48	0.01
0.35	0.02
0.27	0.72
0.03	0.19
0.13	0.23
0.04	0.42
0.15	0.54
0.44	0.39
0.6	0.01
0.27	0.09
0.38	0.61
0.2	0.78
0.47	0.95
0.59	0.56
0.61	0.5
0.51	0.91
0.18	0.9
0.01	0.91
0.26	0.16
0.13	0.92
0.49	0.92
0.58	0.07
0.41	0.07
0.36	0.47
0.18	0.97
0.11	0.11
0.29	0.7
0.15	0.88
0.36	0.94
0.28	0.71
0.43	0.41
0.54	0.43
0.63	0.17
0.28	0.96
0.27	0.81
0.75	0.01
0.03	0.09
0.04	0.57
0.0	0.95
0.0	0.28
0.51	0.13
0.2	0.98
0.26	0.02
0.01	0.33
0.07	0.02
0.0	0.56
0.48	0.05
0.02	0.0
0.07	0.89
0.0	0.7
0.0	0.81
0.28	0.24
0.26	0.01
0.4	0.95
0.48	0.4
0.22	0.33
0.33	0.01
0.04	0.59
0.59	0.81
0.2	0.84
0.0	0.35
0.51	0.77
0.02	0.75
0.44	0.5
0.28	0.93
0.59	0.59
0.49	0.37
0.2	0.49
0.33	0.02
0.13	0.37
0.63	0.15
0.47	0.35
0.11	0.81
0.17	0.87
0.07	0.16
0.49	0.73
0.37	0.65
0.63	0.09
0.54	0.39
0.03	0.18
0.64	0.85
0.39	0.52
0.65	0.7
0.43	0.36
0.12	0.11
0.19	0.49
0.04	0.49
0.37	0.45
0.03	0.36
0.66	0.85
0.07	0.64
0.38	0.55
0.02	0.23
0.66	0.6
0.08	0.57
0.61	0.37
0.02	0.46
0.08	0.82
0.11	0.54
0.29	0.69
0.53	0.35
0.05	0.35
0.66	0.15
0.13	0.98
0.15	0.22
0.5	0.43
0.63	0.18
0.01	0.13
0.28	0.72
0.01	0.77
0.4	0.94
0.5	0.37
0.61	0.46
0.39	0.91
0.28	0.97
0.19	0.98
0.03	0.72
0.58	0.35
0.67	0.66
0.38	0.46
0.34	0.09
0.4	0.47
0.03	0.97
0.49	0.8
0.32	0.04
0.11	0.88
0.45	0.93
0.01	0.52
0.41	0.44
0.22	0.94
0.02	0.99
0.24	0.16
0.55	0.33
0.08	0.65
0.46	0.38
0.59	0.38
0.35	0.08
0.0	0.79
0.32	0.01
0.04	0.19
0.15	0.35
0.02	0.74
0.27	0.41
0.55	0.26
0.04	0.72
0.49	0.1
