Source types: {}
Target types: {}
Src (score): 
		 Property: description; First score: 0.5; Second score: 2.9833684400517555; Combined: 0.8564607768012702; Selected
		 Property: name; First score: 0.5; Second score: 2.9833684400517555; Combined: 0.8564607768012702; Selected
Tgt (score): 
		 Property: name; First score: 0.3860021208907741; Second score: 2.932911135960467; Combined: 0.6822172387469859; Selected
		 Property: description; First score: 0.2301166489925769; Second score: 2.513680399091957; Combined: 0.42163447218603706; Selected
		 Property: manufacturer; First score: 0.383881230116649; Second score: 0.22880073899906386; Combined: 0.2867141961606209
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.22; Sing.: 0.9386; P: 0.7681159420289855; R: 0.14494074749316319; F1: 0.24386503067484663; Conf.: 0.4920863309352518; Links: 207
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.23; Sing.: 0.9353; P: 0.762114537444934; R: 0.1577028258887876; F1: 0.26132930513595165; Conf.: 0.4920863309352518; Links: 227
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.24; Sing.: 0.9257; P: 0.7056603773584905; R: 0.17046490428441202; F1: 0.2745961820851689; Conf.: 0.4920863309352518; Links: 265
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.25; Sing.: 0.9219; P: 0.6724137931034483; R: 0.17775752051048313; F1: 0.28118240807498196; Conf.: 0.4920863309352518; Links: 290
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.26; Sing.: 0.9099; P: 0.6371428571428571; R: 0.203281677301732; F1: 0.30822391154111956; Conf.: 0.4920863309352518; Links: 350
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.27; Sing.: 0.9054; P: 0.6175710594315246; R: 0.2178669097538742; F1: 0.3221024258760108; Conf.: 0.4920863309352518; Links: 387
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.28; Sing.: 0.8962; P: 0.5839080459770115; R: 0.2315405651777575; F1: 0.33159268929503916; Conf.: 0.4920863309352518; Links: 435
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.29; Sing.: 0.8927; P: 0.5734989648033126; R: 0.25250683682771197; F1: 0.35063291139240504; Conf.: 0.4920863309352518; Links: 483
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.3; Sing.: 0.8915; P: 0.5675675675675675; R: 0.268003646308113; F1: 0.36408668730650157; Conf.: 0.4920863309352518; Links: 518
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.31; Sing.: 0.8844; P: 0.546572934973638; R: 0.2835004557885141; F1: 0.37334933973589435; Conf.: 0.4920863309352518; Links: 569
